season,specie,sex,age(month),temperature,symptom1,symptom2,symptom3,symptom4,symptom5,symptom6,symptom7,Disease
3,2,6,26,38.65,37,14,52,34,38,43,29,5
3,2,6,45,38.65,49,19,34,54,14,35,14,0
12,2,6,51,38.65,53,16,40,32,31,21,14,10
4,8,9,43,39.25,55,18,46,26,35,14,38,15
4,2,6,32,38.65,49,19,54,34,14,47,14,0
4,8,6,61,39.25,34,52,37,39,21,51,25,5
4,2,9,44,38.65,34,52,47,14,38,22,35,5
3,2,6,13,38.65,55,46,18,26,36,25,54,15
3,8,6,94,39.25,17,45,42,32,41,36,35,1
4,8,9,35,39.25,23,39,24,27,14,22,14,11
3,2,6,64,38.65,32,20,36,30,43,14,54,7
4,2,9,62,38.65,37,39,34,52,43,51,41,5
3,8,6,80,39.25,18,46,55,26,14,14,14,15
12,2,9,77,38.65,20,30,32,36,14,25,38,7
3,8,9,80,39.25,54,32,18,55,14,35,31,13
3,8,6,43,39.25,32,36,20,30,14,31,28,7
12,2,9,88,38.65,23,39,32,27,24,41,50,11
4,2,6,6,38.65,32,40,14,53,35,14,22,10
12,8,6,113,39.25,40,21,53,14,14,14,51,10
3,2,6,102,38.65,32,20,36,30,37,14,14,7
3,8,9,89,39.25,23,14,32,27,14,24,14,11
3,2,6,98,38.65,26,55,18,46,38,21,43,15
4,8,9,100,39.25,34,52,37,39,43,28,43,5
12,8,9,97,39.25,26,46,55,18,24,44,43,15
12,8,6,61,39.25,34,39,37,14,44,14,28,5
12,2,9,95,38.65,39,27,32,14,25,14,24,11
4,2,6,38,38.65,17,45,42,32,43,25,38,1
4,2,6,73,38.65,26,55,46,29,33,14,14,15
4,8,6,65,39.25,17,45,42,32,28,14,43,1
12,2,6,94,38.65,18,26,55,46,22,14,43,15
12,8,6,21,39.25,26,55,46,18,22,37,28,15
4,8,6,29,39.25,17,45,42,32,36,33,22,1
12,8,9,61,39.25,27,32,39,23,54,31,14,11
3,8,6,62,39.25,32,20,36,41,41,36,24,7
12,8,9,94,39.25,23,14,32,27,28,37,14,11
3,2,6,107,38.65,55,47,18,26,38,24,37,15
12,8,9,24,39.25,49,19,34,54,54,22,28,0
3,8,6,63,39.25,18,55,32,54,28,48,51,13
3,2,6,38,38.65,42,45,32,17,33,24,33,1
12,2,9,106,38.65,23,39,32,27,14,29,35,11
3,8,6,117,39.25,23,14,32,27,33,35,50,11
4,8,6,40,39.25,53,16,40,32,35,51,37,10
4,2,6,42,38.65,39,23,32,27,44,36,14,11
12,8,9,113,39.25,18,46,26,55,54,29,51,15
12,2,6,73,38.65,17,45,42,32,50,38,22,1
4,8,6,32,39.25,55,18,54,32,14,38,36,13
4,2,6,9,38.65,53,16,38,32,14,51,44,10
4,2,6,43,38.65,40,53,16,32,21,37,14,10
12,8,9,15,39.25,18,55,32,14,48,21,37,13
3,2,6,50,38.65,16,40,32,53,14,44,14,10
4,8,6,31,39.25,27,23,39,14,14,35,14,11
12,8,9,64,39.25,23,39,32,27,14,33,48,11
4,8,6,8,39.25,34,19,49,54,36,14,47,0
3,8,6,50,39.25,32,36,30,20,43,21,14,7
12,8,9,19,39.25,49,19,34,44,50,14,22,0
3,8,9,84,39.25,23,39,32,27,14,14,31,11
3,8,9,49,39.25,23,39,27,32,14,14,38,11
12,8,6,76,39.25,32,42,45,17,43,24,54,1
12,2,9,49,38.65,49,19,34,54,31,48,48,0
4,2,6,84,38.65,18,55,32,54,14,35,35,13
12,2,9,81,38.65,32,39,27,23,31,35,54,11
3,2,6,53,38.65,18,14,32,54,14,31,43,13
12,2,6,88,38.65,35,55,46,18,48,14,54,15
3,2,9,17,38.65,26,55,46,18,50,51,28,15
4,8,6,107,39.25,34,49,54,19,33,41,48,0
3,2,9,24,38.65,32,18,54,55,29,33,36,13
12,2,9,74,38.65,34,39,37,52,29,50,50,5
4,8,9,66,39.25,30,20,32,36,14,47,14,7
12,8,6,112,39.25,18,26,46,55,14,44,28,15
3,2,9,1,38.65,49,19,34,54,47,47,25,0
12,2,9,31,38.65,23,39,32,27,14,48,14,11
4,8,9,17,39.25,39,34,37,52,33,36,14,5
3,8,9,23,39.25,52,51,37,14,14,31,14,5
4,8,6,18,39.25,34,52,37,39,29,14,51,5
12,2,6,3,38.65,55,26,18,46,38,14,48,15
3,8,9,103,39.25,34,54,49,19,47,47,43,0
3,2,6,55,38.65,40,53,16,54,31,31,44,10
3,2,6,32,38.65,23,39,27,32,48,22,25,11
4,2,6,53,38.65,32,20,14,30,51,21,22,7
12,2,6,45,38.65,26,55,47,18,41,14,28,15
4,8,9,71,39.25,37,52,34,39,25,48,51,5
12,2,6,25,38.65,17,45,42,32,25,48,37,1
4,8,6,81,39.25,32,45,42,17,14,29,37,1
3,8,6,33,39.25,46,26,14,18,41,14,14,15
12,2,9,27,38.65,18,55,32,54,51,14,35,13
12,2,6,17,38.65,52,39,34,37,14,50,33,5
12,8,6,56,39.25,40,53,16,32,14,25,47,10
12,2,9,39,38.65,26,55,46,18,50,22,21,15
3,2,6,113,38.65,34,52,37,39,41,41,14,5
4,2,9,102,38.65,34,52,37,14,14,47,24,5
4,2,9,72,38.65,39,32,27,23,14,22,14,11
12,2,6,77,38.65,17,45,42,32,14,25,43,1
4,8,9,55,39.25,52,39,37,34,14,29,29,5
12,8,6,101,39.25,17,45,42,32,33,51,54,1
4,2,9,92,38.65,32,20,36,30,14,41,22,7
12,2,9,27,38.65,23,27,39,32,41,25,29,11
3,2,6,81,38.65,34,52,37,39,31,37,41,5
4,8,6,115,39.25,36,20,30,32,25,33,21,7
12,8,9,13,39.25,55,46,26,18,14,24,43,15
4,8,6,92,39.25,39,34,52,14,38,50,14,5
4,8,6,13,39.25,17,45,42,32,41,36,14,1
4,2,6,76,38.65,20,36,30,32,21,24,24,7
12,2,9,83,38.65,32,20,36,30,29,44,51,7
12,2,6,9,38.65,17,14,14,32,14,37,14,1
12,8,6,68,39.25,17,42,32,45,14,48,25,1
12,8,6,77,39.25,42,32,17,45,22,51,28,1
3,8,9,39,39.25,18,55,26,46,33,28,37,15
12,2,9,115,38.65,36,20,38,30,37,51,38,7
3,2,6,30,38.65,32,27,44,23,29,29,14,11
3,8,6,4,39.25,32,45,42,17,29,35,54,1
4,8,6,105,39.25,30,20,36,32,50,31,47,7
12,2,9,111,38.65,18,55,31,26,33,50,25,15
3,2,9,78,38.65,54,19,34,49,22,28,41,0
3,8,9,65,39.25,39,34,37,52,28,14,14,5
3,8,9,72,39.25,37,34,52,39,25,14,14,5
4,8,9,56,39.25,34,52,37,39,37,14,28,5
4,8,6,116,39.25,23,39,14,27,43,38,25,11
12,2,9,1,38.65,26,55,18,46,21,14,54,15
3,8,6,106,39.25,54,34,49,19,54,43,14,0
12,8,6,53,39.25,23,39,32,27,14,44,37,11
12,8,6,2,39.25,17,45,54,32,14,21,24,1
4,2,9,75,38.65,34,14,37,39,31,48,54,5
12,2,9,54,38.65,18,26,46,55,44,21,14,15
4,8,9,52,39.25,25,39,32,27,47,29,44,11
3,8,6,82,39.25,26,55,18,46,44,14,33,15
4,8,9,112,39.25,34,52,37,39,21,14,41,5
4,2,9,50,38.65,18,55,32,54,35,14,14,13
4,8,9,117,39.25,32,20,36,30,36,51,28,7
3,2,6,18,38.65,37,39,34,52,44,14,47,5
4,2,6,48,38.65,39,32,23,27,37,31,28,11
3,2,6,96,38.65,34,52,37,39,21,14,47,5
3,8,6,60,39.25,45,42,17,32,37,47,50,1
12,8,9,93,39.25,39,32,23,27,33,22,24,11
4,2,9,85,38.65,49,19,34,54,38,14,14,0
12,8,9,65,39.25,18,55,32,54,22,29,54,13
4,8,6,111,39.25,30,32,36,20,36,48,33,7
4,8,9,56,39.25,23,39,32,27,44,28,14,11
3,2,6,61,38.65,21,20,36,30,50,21,48,7
4,2,9,63,38.65,23,39,32,27,41,35,14,11
12,8,6,62,39.25,26,55,46,18,41,43,44,15
4,2,6,27,38.65,27,23,32,39,14,14,14,11
12,2,6,92,38.65,32,20,36,30,25,14,54,7
12,2,6,41,38.65,32,20,36,14,24,22,33,7
4,8,6,61,39.25,34,52,37,39,54,35,51,5
4,2,6,39,38.65,32,14,53,16,28,29,14,10
4,8,6,96,39.25,53,16,28,32,35,37,35,10
12,2,6,89,38.65,52,39,14,37,41,21,36,5
4,8,6,71,39.25,32,20,14,30,37,37,44,7
4,2,6,20,38.65,26,55,46,18,14,14,51,15
12,8,6,88,39.25,40,16,32,53,14,14,22,10
12,2,6,40,38.65,32,30,20,36,14,22,35,7
4,2,6,13,38.65,26,55,46,18,14,41,43,15
4,8,6,50,39.25,39,34,52,37,22,29,48,5
12,8,6,80,39.25,20,32,30,14,43,36,25,7
12,2,6,115,38.65,32,20,36,30,31,43,29,7
4,2,6,72,38.65,18,55,32,54,43,25,14,13
3,2,6,97,38.65,46,14,18,55,43,29,47,15
12,8,9,3,39.25,18,46,26,55,38,14,35,15
4,2,6,87,38.65,17,42,32,45,22,25,29,1
3,8,9,90,39.25,26,14,46,18,43,41,14,15
3,8,9,61,39.25,32,20,36,30,36,14,14,7
4,8,6,34,39.25,36,30,20,32,24,31,43,7
4,8,9,113,39.25,26,55,46,18,41,51,36,15
3,8,6,31,39.25,23,39,14,27,14,51,28,11
4,2,9,95,38.65,23,39,32,14,22,43,44,11
3,8,6,93,39.25,53,14,32,40,22,48,48,10
4,2,6,123,38.65,23,39,32,27,54,50,33,11
12,2,9,31,38.65,20,36,30,14,41,25,38,7
12,8,9,71,39.25,39,52,37,34,33,31,14,5
3,2,9,115,38.65,46,55,26,18,14,14,14,15
12,2,6,33,38.65,26,55,18,46,48,29,35,15
12,2,6,6,38.65,42,32,17,45,48,37,47,1
12,2,9,115,38.65,26,55,46,18,54,28,54,15
12,2,6,25,38.65,49,19,34,54,33,35,35,0
12,2,9,87,38.65,55,18,44,26,47,14,28,15
3,2,9,80,38.65,18,32,54,55,47,50,37,13
12,2,6,14,38.65,46,18,26,55,28,38,43,15
3,8,6,48,39.25,32,14,36,30,14,29,14,7
4,2,6,16,38.65,32,16,53,40,28,35,14,10
3,2,6,30,38.65,32,30,36,20,37,41,25,7
4,8,6,58,39.25,18,32,54,21,14,47,44,13
4,2,9,124,38.65,34,54,19,49,35,31,50,0
4,8,9,118,39.25,23,39,32,27,14,36,41,11
12,8,9,18,39.25,34,52,37,39,14,36,54,5
4,8,6,47,39.25,54,14,49,19,43,24,14,0
3,2,6,8,38.65,42,45,17,32,14,14,22,1
12,2,6,109,38.65,49,35,34,54,14,44,14,0
12,2,6,16,38.65,26,55,46,18,29,36,37,15
12,8,9,97,39.25,34,49,54,19,37,14,44,0
4,8,6,92,39.25,26,55,46,18,35,14,38,15
3,8,9,12,39.25,27,32,39,23,38,21,25,11
4,8,6,1,39.25,32,20,36,30,14,54,36,7
3,8,6,33,39.25,34,52,37,39,14,38,37,5
3,2,9,108,38.65,30,36,32,20,25,14,50,7
12,2,6,118,38.65,32,20,36,30,37,14,41,7
3,2,9,80,38.65,26,55,46,18,47,22,29,15
4,8,6,58,39.25,36,32,20,30,38,37,54,7
4,2,9,95,38.65,39,34,52,37,29,35,37,5
4,2,6,27,38.65,43,14,16,40,21,31,14,10
12,8,6,108,39.25,45,17,42,32,33,14,36,1
12,8,9,1,39.25,23,39,32,27,14,14,33,11
12,8,6,60,39.25,37,44,34,39,47,25,14,5
4,2,9,38,38.65,46,55,18,26,54,54,14,15
4,8,9,51,39.25,34,54,19,49,43,50,25,0
12,2,6,69,38.65,34,52,37,39,51,37,47,5
3,2,6,22,38.65,45,17,32,42,54,14,24,1
12,2,6,1,38.65,45,32,17,42,14,33,25,1
4,2,6,21,38.65,49,19,34,54,37,14,31,0
4,8,6,57,39.25,39,23,27,32,14,48,36,11
3,2,6,84,38.65,49,19,34,54,37,28,14,0
3,8,6,96,39.25,26,55,46,18,41,14,28,15
3,2,6,48,38.65,45,42,17,32,31,14,50,1
12,8,6,16,39.25,26,55,46,18,21,24,38,15
4,2,9,2,38.65,18,55,32,38,29,25,24,13
4,2,6,102,38.65,54,18,32,55,14,29,38,13
3,8,6,75,39.25,32,42,14,45,50,31,48,1
12,2,6,44,38.65,34,54,19,49,14,25,43,0
3,2,9,66,38.65,20,30,36,32,36,44,51,7
12,2,9,75,38.65,37,14,52,34,14,47,28,5
4,8,6,26,39.25,52,39,37,34,37,41,37,5
4,2,6,50,38.65,18,54,55,24,14,47,14,13
3,8,6,36,39.25,17,45,42,32,35,51,54,1
4,2,9,58,38.65,32,20,14,30,21,41,35,7
4,2,6,96,38.65,49,19,34,54,41,14,50,0
3,2,6,76,38.65,37,52,39,34,44,31,44,5
4,2,6,111,38.65,34,52,37,39,14,31,14,5
4,8,6,45,39.25,49,19,34,54,31,44,28,0
12,2,9,116,38.65,30,20,36,32,14,50,29,7
4,8,6,93,39.25,23,39,27,32,35,51,25,11
3,8,6,101,39.25,47,18,14,14,47,14,14,15
4,2,9,106,38.65,55,54,18,32,54,14,22,13
12,2,6,86,38.65,53,16,40,32,33,14,44,10
3,8,9,109,39.25,39,37,22,34,47,36,43,5
12,8,6,20,39.25,34,52,14,39,14,33,50,5
4,2,6,5,38.65,34,52,37,39,51,47,14,5
12,2,9,73,38.65,37,34,52,39,38,44,14,5
4,2,9,19,38.65,34,52,37,39,47,44,14,5
3,2,6,114,38.65,54,32,18,55,22,31,50,13
4,2,9,19,38.65,18,55,54,32,14,24,36,13
4,8,6,48,39.25,26,55,46,14,43,29,14,15
4,2,9,68,38.65,46,18,41,26,14,14,41,15
12,8,6,43,39.25,17,45,42,32,28,54,14,1
3,8,6,44,39.25,27,32,23,39,41,14,33,11
12,8,9,110,39.25,37,52,39,34,14,14,51,5
12,2,9,69,38.65,26,55,46,18,38,14,25,15
4,2,6,16,38.65,49,19,14,34,38,14,24,0
3,8,6,52,39.25,42,32,17,45,35,48,28,1
12,2,6,54,38.65,32,20,36,30,24,24,37,7
4,8,6,5,39.25,27,39,32,23,14,14,47,11
3,8,9,42,39.25,37,14,39,52,21,47,14,5
12,2,6,85,38.65,45,32,42,17,29,14,14,1
12,2,6,1,38.65,53,40,32,14,50,54,54,10
12,8,6,45,39.25,42,17,14,45,29,48,38,1
3,2,9,30,38.65,39,14,37,34,22,35,25,5
4,2,9,77,38.65,32,20,36,30,14,24,14,7
12,2,9,42,38.65,54,49,19,34,47,47,14,0
3,8,9,25,39.25,36,23,27,39,41,33,14,11
4,8,6,10,39.25,32,20,30,36,24,41,48,7
12,2,9,41,38.65,36,20,30,32,37,43,21,7
4,8,6,50,39.25,32,20,36,30,41,43,28,7
3,2,6,115,38.65,26,55,46,14,41,43,14,15
12,2,9,8,38.65,26,55,46,18,31,14,51,15
3,8,6,26,39.25,17,14,42,32,43,28,14,1
4,8,9,71,39.25,32,54,55,18,47,22,35,13
3,8,6,50,39.25,55,26,18,46,14,41,35,15
3,8,6,35,39.25,45,42,17,32,51,41,14,1
4,2,9,34,38.65,54,19,49,34,29,21,14,0
12,2,9,21,38.65,34,52,37,39,41,14,37,5
12,8,6,30,39.25,53,16,40,29,21,43,51,10
4,2,9,50,38.65,18,55,32,54,43,48,14,13
12,2,9,83,38.65,18,55,48,54,14,14,21,13
4,8,6,38,39.25,17,45,32,42,21,51,14,1
4,2,9,82,38.65,39,37,34,52,24,48,48,5
4,2,9,95,38.65,34,52,37,39,28,48,14,5
12,8,9,7,39.25,55,18,46,14,14,14,31,15
4,2,6,116,38.65,32,53,16,40,44,47,29,10
12,8,9,85,39.25,34,19,54,49,14,41,25,0
4,2,9,95,38.65,34,52,37,39,14,48,28,5
12,2,6,121,38.65,23,39,27,32,51,48,48,11
12,8,6,62,39.25,26,55,46,18,37,37,41,15
12,2,9,110,38.65,32,20,36,30,48,47,31,7
12,8,9,42,39.25,32,54,18,55,25,31,25,13
4,8,6,90,39.25,26,46,55,18,25,54,47,15
3,8,9,43,39.25,34,14,37,39,24,50,14,5
4,2,9,40,38.65,23,14,32,27,37,14,41,11
12,2,6,77,38.65,45,17,32,42,24,51,43,1
3,8,6,77,39.25,32,42,45,17,33,41,47,1
12,2,6,54,38.65,26,46,18,14,22,28,41,15
4,8,9,57,39.25,32,20,36,30,24,14,31,7
3,8,9,3,39.25,34,52,37,39,54,36,35,5
12,2,6,19,38.65,17,45,42,32,54,48,48,1
3,8,6,6,39.25,42,45,32,17,25,44,37,1
12,2,9,24,38.65,23,27,32,39,28,33,33,11
12,2,6,77,38.65,32,36,20,30,14,51,14,7
12,8,6,59,39.25,17,45,42,32,41,48,14,1
3,8,9,42,39.25,32,20,36,30,47,25,28,7
3,8,6,86,39.25,49,19,34,54,50,36,43,0
12,2,9,112,38.65,23,39,32,27,22,37,28,11
4,8,9,22,39.25,52,37,34,39,38,47,14,5
3,8,6,56,39.25,55,26,18,46,28,38,28,15
12,2,9,101,38.65,39,27,23,32,48,29,47,11
4,8,9,59,39.25,26,14,46,18,50,14,35,15
3,2,6,116,38.65,26,55,46,18,31,41,41,15
3,8,6,32,39.25,20,30,32,36,14,36,36,7
3,2,6,7,38.65,17,45,42,32,21,54,14,1
4,8,6,88,39.25,22,52,37,39,54,48,14,5
4,2,9,3,38.65,32,20,36,30,36,35,51,7
12,8,9,68,39.25,18,14,48,54,36,41,36,13
12,8,6,103,39.25,32,36,20,14,38,43,38,7
12,2,9,120,38.65,23,39,27,32,24,54,14,11
12,2,6,90,38.65,53,16,40,32,41,14,14,10
12,2,6,77,38.65,53,16,40,32,21,33,48,10
3,8,9,58,39.25,26,55,46,18,38,35,38,15
12,2,6,35,38.65,40,32,16,53,41,14,51,10
12,8,9,126,39.25,27,39,23,32,14,51,14,11
12,8,6,23,39.25,17,42,32,45,14,21,43,1
12,8,9,101,39.25,26,55,46,18,21,31,21,15
12,2,6,43,38.65,19,34,49,54,43,50,36,0
3,8,9,78,39.25,18,55,32,54,48,14,50,13
12,2,9,6,38.65,37,52,39,34,14,24,36,5
3,8,9,39,39.25,34,52,37,39,14,43,22,5
12,8,6,81,39.25,54,52,37,39,36,21,14,5
4,8,9,79,39.25,32,20,36,30,36,44,24,7
3,8,9,40,39.25,23,39,32,27,28,21,51,11
3,8,6,61,39.25,54,18,55,32,31,25,47,13
4,8,6,90,39.25,32,45,17,42,38,54,31,1
3,2,9,89,38.65,23,39,32,27,35,14,21,11
12,2,6,60,38.65,20,32,36,30,14,28,33,7
3,8,6,114,39.25,23,39,32,27,24,14,54,11
12,8,9,91,39.25,18,55,26,46,50,25,33,15
12,8,9,32,39.25,54,55,32,18,47,31,38,13
3,8,6,62,39.25,18,32,55,54,50,51,24,13
12,8,6,3,39.25,39,37,52,34,54,14,31,5
4,8,6,59,39.25,23,39,32,27,28,14,22,11
12,8,9,14,39.25,18,54,55,32,37,33,25,13
12,8,6,78,39.25,32,45,17,42,14,14,14,1
12,2,6,94,38.65,34,52,37,39,29,48,14,5
3,2,6,88,38.65,18,32,48,55,36,31,14,13
3,2,6,38,38.65,17,45,42,32,38,22,50,1
3,2,9,41,38.65,39,27,47,23,14,48,14,11
4,2,6,52,38.65,53,16,40,32,28,35,35,10
4,2,9,34,38.65,34,52,37,39,24,25,48,5
4,8,9,32,39.25,30,32,20,36,14,48,28,7
3,8,6,5,39.25,26,55,46,14,22,54,36,15
4,8,6,38,39.25,54,18,55,32,31,14,14,13
4,8,6,80,39.25,27,14,39,32,14,41,44,11
12,8,6,71,39.25,17,42,32,45,24,14,14,1
3,8,6,14,39.25,45,42,17,32,35,14,22,1
12,2,6,48,38.65,39,34,37,52,14,36,24,5
3,2,9,63,38.65,39,32,23,27,38,14,25,11
12,8,9,11,39.25,23,39,27,32,29,50,21,11
4,2,6,67,38.65,22,17,45,42,35,33,43,1
3,8,9,114,39.25,32,20,36,30,14,48,41,7
3,8,9,3,39.25,34,49,19,54,54,51,48,0
4,8,6,94,39.25,32,53,16,40,43,47,54,10
12,8,9,16,39.25,26,55,14,18,25,35,24,15
4,8,9,25,39.25,49,34,19,54,51,50,14,0
12,2,6,30,38.65,23,39,32,50,24,48,48,11
4,8,9,105,39.25,46,14,18,26,25,24,14,15
4,8,6,105,39.25,27,39,32,23,43,37,14,11
3,2,6,71,38.65,26,55,46,18,44,54,54,15
4,2,9,79,38.65,23,39,32,27,24,54,51,11
4,8,9,41,39.25,54,55,32,18,50,38,21,13
4,2,6,80,38.65,36,32,30,20,14,44,48,7
3,2,6,98,38.65,52,14,39,37,44,29,37,5
12,2,9,67,38.65,32,20,36,30,43,51,21,7
4,8,6,108,39.25,40,37,14,16,41,36,14,10
12,2,9,20,38.65,23,27,14,39,14,38,48,11
3,8,9,56,39.25,20,30,32,36,14,24,48,7
3,2,6,22,38.65,24,45,42,32,31,14,38,1
12,2,6,72,38.65,32,24,45,42,48,14,48,1
4,8,6,100,39.25,34,52,14,14,44,48,31,5
4,8,6,56,39.25,27,39,23,32,29,14,21,11
12,2,6,31,38.65,30,36,14,32,24,14,48,7
12,2,9,102,38.65,34,52,37,39,14,51,47,5
3,8,6,19,39.25,27,23,32,39,43,14,36,11
3,2,6,102,38.65,53,16,40,32,21,50,36,10
4,8,9,81,39.25,54,55,32,18,14,14,25,13
12,2,6,25,38.65,40,53,16,32,48,22,50,10
